bird_id	D14A1	D14A2	D14A3	D14A4	D14B1	D14B2	D14B3	D14B4	D14C1	D14C2	D14C3	D14C4	D21A1	D21A2	D21A3	D21A4	D21B1	D21B2	D21B3	D21B4	D21C1	D21C2	D21C3	D21C4	D35A1	D35A2	D35A3	D35A4	D35B1	D35B2	D35B3	D35B4	D35C1	D35C2	D35C3	D35C4	D3A2	D3A3	D3A4	D3B1	D3B2	D3B3	D3B4	D3C1	D3C2	D3C3	D3C4
Lactobacillus gigeriorum	0.0	0.0	3e-05	0.0	0.0	4e-05	3e-05	0.0	3e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6e-05	0.0	0.0	4e-05	1e-05	0.0	0.0	6e-05	0.0	7e-05	0.0	0.0	3e-05	1e-05	0.0	0.0	2e-05	0.0	0.0	0.00034	2e-05	4e-05	0.0	0.0	0.0	0.00039	0.00031	2e-05	5e-05	0.0
Lactobacillus kitasatonis	0.0	0.0	3e-05	2e-05	0.0	2e-05	0.0	0.0	0.0	3e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	3e-05	0.0	0.0	2e-05	0.0	0.0	0.0	7e-05	2e-05	3e-05	0.0	0.0	3e-05	1e-05	0.0	0.0	2e-05	0.0	0.0	9e-05	4e-05	3e-05	0.0	0.0	0.0	0.00031	0.00036	0.0	3e-05	0.0
Lactobacillus paragasseri	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	2e-05	0.0	0.0	0.0	0.00013	1e-05	0.0	1e-05	0.0
Enterococcus_D casseliflavus	0.0	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3e-05	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4e-05	0.0	0.00285	0.0	0.0	0.0	0.0	0.0	7e-05	0.00338	0.0
CAG-1000 sp004560915	0.0	0.0	8e-05	0.0	0.0	0.0	0.0	0.0	0.0	7e-05	4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3e-05	0.0	0.0	0.0
Escherichia coli_E	0.0	0.0	3e-05	0.0	7e-05	0.0	0.0	5e-05	0.0	3e-05	5e-05	3e-05	0.0	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	2e-05	4e-05	3e-05	0.0	0.0	4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4e-05	2e-05	3e-05	0.00017	0.00012	0.00068	5e-05	0.00216	0.00054	0.00138	0.00018	0.00075	0.00085	0.00126
Escherichia marmotae	0.0	0.0	4e-05	0.0	6e-05	0.0	0.0	3e-05	0.0	0.0	3e-05	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	3e-05	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3e-05	0.0	0.0	0.00016	5e-05	0.00041	5e-05	0.0016	0.00036	0.0009	0.00041	0.00056	0.00143	0.00079
Escherichia sp001660175	0.0	0.0	2e-05	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	5e-05	0.0	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	2e-05	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-05	0.0	0.0	0.00041	0.0002	0.00102	0.00015	0.00486	0.00085	0.00264	0.00032	0.00149	0.00129	0.00234
Clostridium sp900543325	0.0	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	9e-05	0.0	0.0
Clostridium sp017888565	0.0	0.0	0.00029	4e-05	7e-05	0.0	8e-05	3e-05	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6e-05	0.0	0.0	0.00877	0.00024	0.02621	0.00055	0.00145	0.00151	0.0134	0.00159	0.0274	0.0245	0.00174
Heteroruminococcus faecigallinarum	0.0	0.0	2e-05	0.0	0.0	2e-05	0.0	0.0	0.0	3e-05	0.0	0.0	0.00045	0.00035	0.00041	0.0002	0.00032	8e-05	0.00024	0.00042	0.00012	0.00084	0.0001	0.00015	0.00093	0.00064	0.00071	0.0007	0.0007	0.00086	0.00028	0.00058	0.00043	0.00033	0.00045	0.00067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GCA-900066495 sp900545985	0.0	0.0	5e-05	0.0	0.0	0.0	0.0	0.0	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-05	0.0	0.00016	0.0	0.0	0.0	0.0	0.0	6e-05	0.0	0.0
Enterocloster aldenensis	0.0	0.00027	0.00832	0.00146	0.00053	0.0	0.0	0.002	0.0	0.0	0.00052	0.00062	0.0	0.0	0.0015	0.0	0.00021	0.00055	8e-05	0.00027	7e-05	0.0	0.00012	0.00095	3e-05	0.00018	5e-05	0.0	0.0	6e-05	0.0	0.00012	7e-05	6e-05	0.00019	0.00033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Massilistercora gallistercoris	0.0	2e-05	2e-05	4e-05	0.0	0.00944	2e-05	3e-05	0.0	0.0	0.0	0.00015	0.00139	3e-05	5e-05	0.00472	3e-05	0.00036	0.00188	2e-05	3e-05	0.00113	0.0	0.0	0.00265	0.00231	0.00723	0.00407	0.00112	0.00158	0.00107	0.00712	0.00291	0.00584	0.00565	0.00582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eggerthella lenta	0.00025	0.0001	0.00048	0.00015	0.00075	8e-05	0.00035	8e-05	0.00013	6e-05	0.0006	0.00023	3e-05	4e-05	2e-05	2e-05	4e-05	6e-05	0.0	0.0	0.0	3e-05	3e-05	3e-05	3e-05	1e-05	4e-05	2e-05	3e-05	2e-05	2e-05	4e-05	4e-05	4e-05	6e-05	0.0	0.00015	0.00213	0.00283	0.00099	0.0	0.0	0.00067	0.00037	0.0007	0.00291	0.00258
Mycobacterium angelicum	3e-05	0.0	4e-05	0.0	9e-05	0.0	0.0	6e-05	0.0	0.0	0.0	0.0	0.0	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	7e-05	6e-05	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-05	0.0	0.0	0.0	0.0	0.0	0.00021	0.0	0.0
Scatousia excrementigallinarum	0.00259	0.0038	0.00069	0.00193	0.00145	0.0025	0.00163	0.00032	0.00528	0.00224	0.00257	0.00047	0.00441	0.00143	0.00155	0.00088	0.00159	0.0042	0.0014	0.00156	0.00115	0.00113	0.00088	0.00085	0.00054	0.00169	0.0009	0.00183	0.00087	0.0022	0.00072	0.00168	0.00118	0.00095	0.00065	0.00262	0.0	2e-05	0.0	4e-05	0.0	0.0	3e-05	0.0	0.0	0.0	0.0
